Episode-Dates.csv,Subject-Matter.csv,Colors-Used.csv
Title,Episode,Index
Date,Title,Painting Index
Extra,Apple Frame,Image Source
,Aurora Borealis,Painting Title
,Barn,Season
,Beach,Episode
,Boat,Number Of Colors
,Bridge,Youtube Source
,Building,Colors
,Bushes,Color Hex
,Cabin,Black Gesso
,Cactus,Bright Red
,Circle Frame,Burnt Umber
,Cirrus,Cadmium Yellow
,Cliff,Dark Sienna
,Clouds,Indian Red
,Conifer,Indian Yellow
,Cumulus,Liquid Black
,Deciduous,Liquid Clear
,Diane Andre,Midnight Black
,Dock,Phthalo Blue
,Double Oval Frame,Phthalo Green
,Farm,Prussian Blue
,Fence,Sap Green
,Fire,Titanium White
,Florida Frame,Van Dyke Brown
,Flowers,Yellow Ochre
,Fog,Alizarin Crimson
,Framed,
,Grass,
,Guest,
,Half Circle Frame,
,Half Oval Frame,
,Hills,
,Lake,
,Lakes,
,Lighthouse,
,Mill,
,Moon,
,Mountain,
,Mountains,
,Night,
,Ocean,
,Oval Frame,
,Palm Trees,
,Path,
,Person,
,Portrait,
,Rectangle 3D Frame,
,Rectangular Frame,
,River,
,Rocks,
,Seashell Frame,
,Snow,
,Snowy Mountain,
,Split Frame,
,Steve Ross,
,Structure,
,Sun,
,Tomb Frame,
,Tree,
,Trees,
,Triple Frame,
,Waterfall,
,Waves,
,Windmill,
,Window Frame,
,Winter,
,Wood Framed,
,Season,
