"index","painting index","image source","title","season","episode","number of colors","youtube source","colors","color hex","black gesso","bright red","burnt umber","cadmium yellow","dark sienna","indian red","indian yellow","liquid black","liquid clear","midnight black","phthalo blue","phthalo green","prussian blue","sap green","titanium white","van dyke brown","yellow ochre","alizarin crimson"
"259","42","https://www.twoinchbrush.com/images/painting42.png","hidden delight","20","12","11","https://www.youtube.com/embed/zypnzdaadt8","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"260","43","https://www.twoinchbrush.com/images/painting43.png","double take","20","13","13","https://www.youtube.com/embed/ppzfgg2k2k4","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1"
"261","17","https://www.twoinchbrush.com/images/painting17.png","valley view","21","1","13","https://www.youtube.com/embed/pw5etgiibrg","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1"
"262","18","https://www.twoinchbrush.com/images/painting18.png","tranquil dawn","21","2","10","https://www.youtube.com/embed/4abdq6q-mlm","['alizarin crimson', 'cadmium yellow', 'dark sienna', 'indian yellow', 'liquid clear', 'midnight black\r\n\r\n', 'phthalo blue', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#ffec00', '#5f2e1f', '#ffb800', '#ffffff', '#000000', '#0c0040', '#ffffff', '#221b15', '#c79b00']","0","0","0","1","1","0","1","0","1","1","1","0","0","0","1","1","1","1"
"263","19","https://www.twoinchbrush.com/images/painting19.png","royal majesty","21","3","14","https://www.youtube.com/embed/ubuxbqe6t0u","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'liquid clear', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#ffffff', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1"
"264","20","https://www.twoinchbrush.com/images/painting20.png","serenity","21","4","12","https://www.youtube.com/embed/crqmo3qddco","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"265","21","https://www.twoinchbrush.com/images/painting21.png","cabin at trails end","21","5","13","https://www.youtube.com/embed/glklo4kqtrs","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'liquid clear', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#ffffff', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","1","1","1","0","0","1","1","1","1","1"
"266","22","https://www.twoinchbrush.com/images/painting22.png","mountain rhapsody","21","6","8","https://www.youtube.com/embed/h4vsmku5t7g","['alizarin crimson', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#ffffff', '#221b15', '#c79b00']","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","1","1"
"267","23","https://www.twoinchbrush.com/images/painting23.png","wilderness cabin","21","7","14","https://www.youtube.com/embed/gwehiacnd1e","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'liquid clear', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#ffffff', '#000000', '#0c0040', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1"
"268","24","https://www.twoinchbrush.com/images/painting24.png","by the sea","21","8","13","https://www.youtube.com/embed/8thhbtk6wwc","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#102e3c', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","1"
